"R0","N","yr","p_free_vx"
1.5,100,48.9890410958904,0.4645
1.5,100,49.1534246575342,0.4675
1.5,100,49.3178082191781,0.4725
1.5,100,49.4821917808219,0.474
1.5,100,49.6465753424658,0.4755
1.5,100,49.8109589041096,0.48
1.5,100,49.9753424657534,0.485
1.5,200,0.00273972602739726,0
1.5,200,0.167123287671233,0
1.5,200,0.331506849315069,0
1.5,200,0.495890410958904,0
1.5,200,0.66027397260274,0
1.5,200,0.824657534246575,0
1.5,200,0.989041095890411,0
1.5,200,1.15342465753425,0
1.5,200,1.31780821917808,0
1.5,200,1.48219178082192,0
1.5,200,1.64657534246575,0
1.5,200,1.81095890410959,0
1.5,200,1.97534246575342,0
1.5,200,2.13972602739726,0
1.5,200,2.3041095890411,0
1.5,200,2.46849315068493,0
1.5,200,2.63287671232877,0
1.5,200,2.7972602739726,0
1.5,200,2.96164383561644,0
1.5,200,3.12602739726027,0
1.5,200,3.29041095890411,0
1.5,200,3.45479452054795,0
1.5,200,3.61917808219178,0
1.5,200,3.78356164383562,0
1.5,200,3.94794520547945,0
1.5,200,4.11232876712329,0
1.5,200,4.27671232876712,0
1.5,200,4.44109589041096,0
1.5,200,4.60547945205479,0
1.5,200,4.76986301369863,0
1.5,200,4.93424657534247,0
1.5,200,5.0986301369863,0
1.5,200,5.26301369863014,0
1.5,200,5.42739726027397,0
1.5,200,5.59178082191781,0
1.5,200,5.75616438356164,0
1.5,200,5.92054794520548,0
1.5,200,6.08493150684932,0
1.5,200,6.24931506849315,0
1.5,200,6.41369863013699,0
1.5,200,6.57808219178082,0
1.5,200,6.74246575342466,0
1.5,200,6.90684931506849,0
1.5,200,7.07123287671233,0
1.5,200,7.23561643835616,0
1.5,200,7.4,0
1.5,200,7.56438356164384,0
1.5,200,7.72876712328767,0
1.5,200,7.89315068493151,0
1.5,200,8.05753424657534,0
1.5,200,8.22191780821918,0
1.5,200,8.38630136986301,0
1.5,200,8.55068493150685,0
1.5,200,8.71506849315069,0
1.5,200,8.87945205479452,0
1.5,200,9.04383561643836,0
1.5,200,9.20821917808219,0
1.5,200,9.37260273972603,0
1.5,200,9.53698630136986,0
1.5,200,9.7013698630137,0
1.5,200,9.86575342465753,0
1.5,200,10.0301369863014,0
1.5,200,10.1945205479452,0
1.5,200,10.358904109589,0
1.5,200,10.5232876712329,0
1.5,200,10.6876712328767,0
1.5,200,10.8520547945205,0
1.5,200,11.0164383561644,0
1.5,200,11.1808219178082,0
1.5,200,11.3452054794521,0
1.5,200,11.5095890410959,0
1.5,200,11.6739726027397,0
1.5,200,11.8383561643836,0
1.5,200,12.0027397260274,0
1.5,200,12.1671232876712,0
1.5,200,12.3315068493151,0
1.5,200,12.4958904109589,0
1.5,200,12.6602739726027,0
1.5,200,12.8246575342466,0
1.5,200,12.9890410958904,0
1.5,200,13.1534246575342,0
1.5,200,13.3178082191781,0
1.5,200,13.4821917808219,0
1.5,200,13.6465753424658,0
1.5,200,13.8109589041096,0
1.5,200,13.9753424657534,0
1.5,200,14.1397260273973,0
1.5,200,14.3041095890411,0
1.5,200,14.4684931506849,0
1.5,200,14.6328767123288,0
1.5,200,14.7972602739726,0
1.5,200,14.9616438356164,0
1.5,200,15.1260273972603,0
1.5,200,15.2904109589041,0
1.5,200,15.4547945205479,0
1.5,200,15.6191780821918,0
1.5,200,15.7835616438356,0
1.5,200,15.9479452054795,0
1.5,200,16.1123287671233,0
1.5,200,16.2767123287671,0
1.5,200,16.441095890411,0
1.5,200,16.6054794520548,0
1.5,200,16.7698630136986,0
1.5,200,16.9342465753425,0
1.5,200,17.0986301369863,0
1.5,200,17.2630136986301,0
1.5,200,17.427397260274,0
1.5,200,17.5917808219178,0
1.5,200,17.7561643835616,0
1.5,200,17.9205479452055,0
1.5,200,18.0849315068493,0
1.5,200,18.2493150684931,0
1.5,200,18.413698630137,0
1.5,200,18.5780821917808,0
1.5,200,18.7424657534247,0
1.5,200,18.9068493150685,0
1.5,200,19.0712328767123,0
1.5,200,19.2356164383562,0
1.5,200,19.4,0
1.5,200,19.5643835616438,0
1.5,200,19.7287671232877,0
1.5,200,19.8931506849315,0
1.5,200,20.0575342465753,0
1.5,200,20.2219178082192,0
1.5,200,20.386301369863,0
